Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033354	
Process issue. Check mapping files and reference data 	Holdings id '002131872' not in hold id map.	row 1033595	
Process issue. Check mapping files and reference data 	Holdings id '002121054' not in hold id map.	row 1063783	
Process issue. Check mapping files and reference data 	Holdings id '002121054' not in hold id map.	row 1063784	
Process issue. Check mapping files and reference data 	Holdings id '004360274' not in hold id map.	row 1081892	
Process issue. Check mapping files and reference data 	Holdings id '004534460' not in hold id map.	row 1089671	
Process issue. Check mapping files and reference data 	Holdings id '004540043' not in hold id map.	row 1090457	
Process issue. Check mapping files and reference data 	Holdings id '005449933' not in hold id map.	row 1153527	
Process issue. Check mapping files and reference data 	Holdings id '007490519' not in hold id map.	row 1379312	
Process issue. Check mapping files and reference data 	Holdings id '007490556' not in hold id map.	row 1381346	
Process issue. Check mapping files and reference data 	Holdings id '007490613' not in hold id map.	row 1381367	
Process issue. Check mapping files and reference data 	Holdings id '007490636' not in hold id map.	row 1381380	
Process issue. Check mapping files and reference data 	Holdings id '007667209' not in hold id map.	row 1407330	
Process issue. Check mapping files and reference data 	Holdings id '007766951' not in hold id map.	row 1414602	
Process issue. Check mapping files and reference data 	Holdings id '009885199' not in hold id map.	row 1444342	
Process issue. Check mapping files and reference data 	Holdings id '010775943' not in hold id map.	row 1464222	
Process issue. Check mapping files and reference data 	Holdings id '010965467' not in hold id map.	row 1464590	
Process issue. Check mapping files and reference data 	Holdings id '010965467' not in hold id map.	row 1464591	
Process issue. Check mapping files and reference data 	Holdings id '010965468' not in hold id map.	row 1464592	
Process issue. Check mapping files and reference data 	Holdings id '010965468' not in hold id map.	row 1464593	
Process issue. Check mapping files and reference data 	Holdings id '010965468' not in hold id map.	row 1464594	
Process issue. Check mapping files and reference data 	Holdings id '010965468' not in hold id map.	row 1464595	
Process issue. Check mapping files and reference data 	Holdings id '010965468' not in hold id map.	row 1464596	
Process issue. Check mapping files and reference data 	Holdings id '010965468' not in hold id map.	row 1464597	
Process issue. Check mapping files and reference data 	Holdings id '010965468' not in hold id map.	row 1464598	
Process issue. Check mapping files and reference data 	Holdings id '010965468' not in hold id map.	row 1464599	
Process issue. Check mapping files and reference data 	Holdings id '010965468' not in hold id map.	row 1464600	
Process issue. Check mapping files and reference data 	Holdings id '010577937' not in hold id map.	row 1519075	
Process issue. Check mapping files and reference data 	Holdings id '009726160' not in hold id map.	row 1534504	
Process issue. Check mapping files and reference data 	Holdings id '014035555' not in hold id map.	row 2283109	
Process issue. Check mapping files and reference data 	Holdings id '014338975' not in hold id map.	row 2305082	
Process issue. Check mapping files and reference data 	Holdings id '002291101' not in hold id map.	row 106542	
Process issue. Check mapping files and reference data 	Holdings id '002292866' not in hold id map.	row 139630	
Process issue. Check mapping files and reference data 	Holdings id '002890307' not in hold id map.	row 877753	
Process issue. Check mapping files and reference data 	Holdings id '003032360' not in hold id map.	row 1109585	
Process issue. Check mapping files and reference data 	Holdings id '003288009' not in hold id map.	row 1470035	
Process issue. Check mapping files and reference data 	Holdings id '003288009' not in hold id map.	row 1470036	
